session_id,channel,method,bp,bp_x,warning,power
ID01_02,smo2_ndom,slope,2,NA,NA,NA
ID01_02,smo2_ndom,ratio,1,145.6742791547228,NA,145.6742791547228
ID01_02,smo2_ndom,ratio,2,199.93812409548337,NA,199.93812409548337
ID01_02,smo2_ndom,Log-log,1,160,NA,160
ID01_02,smo2_ndom,Dmax,2,154.340233255695,NA,154.340233255695
ID01_02,smo2_ndom,ModDmax,2,249.30457152528814,NA,249.30457152528814
ID01_02,smo2_ndom,Log-log.ratio,1,184.9,NA,184.9
ID01_02,smo2_ndom,Dmax.ratio,2,183.4758997565422,NA,183.4758997565422
ID01_02,smo2_ndom,ModDmax.ratio,2,224.93689037562837,NA,224.93689037562837
ID01_02,smo2_ndom,poly,1,93.97643985958662,NA,93.97643985958662
ID01_02,smo2_ndom,poly,2,218.32745319359407,NA,218.32745319359407
ID01_02,smo2_avg,raw,1,682.7890094407876,NA,138.27890094407877
ID01_02,smo2_avg,raw,2,1354.9999378766872,NA,205.49999378766873
ID01_02,smo2_avg,mean,1,113.98133225721455,NA,113.98133225721455
ID01_02,smo2_avg,mean,2,189.97012783852222,NA,189.97012783852222
ID01_02,smo2_avg,slope,1,129.9999,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,129.9999
ID01_02,smo2_avg,slope,2,160.0001,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,160.0001
ID01_02,smo2_avg,ratio,1,115.61038143197194,NA,115.61038143197194
ID01_02,smo2_avg,ratio,2,232.68064093165222,NA,232.68064093165222
ID01_02,smo2_avg,Log-log,1,188.3,NA,188.3
ID01_02,smo2_avg,Dmax,2,199.62740603899744,NA,199.62740603899744
ID01_02,smo2_avg,ModDmax,2,228.16967683970765,NA,228.16967683970765
ID01_02,smo2_avg,Log-log.ratio,1,187.5,NA,187.5
ID01_02,smo2_avg,Dmax.ratio,2,204.31094895604633,NA,204.31094895604633
ID01_02,smo2_avg,ModDmax.ratio,2,239.55859838017113,NA,239.55859838017113
ID01_02,smo2_avg,poly,1,144.56004262632132,NA,144.56004262632132
ID01_02,smo2_avg,poly,2,231.67729576001946,NA,231.67729576001946
ID01_03,smo2_dom,raw,1,603.4011712498154,NA,130.34011712498153
ID01_03,smo2_dom,raw,2,1495.6218478544697,NA,219.562184785447
ID01_03,smo2_dom,mean,1,117.7203280888331,NA,117.7203280888331
ID01_03,smo2_dom,mean,2,181.95379751418594,NA,181.95379751418594
ID01_03,smo2_dom,slope,1,NA,NA,NA
ID01_03,smo2_dom,slope,2,NA,NA,NA
ID01_03,smo2_dom,ratio,1,145.39465409935272,NA,145.39465409935272
ID01_03,smo2_dom,ratio,2,211.18144733772021,NA,211.18144733772021
ID01_03,smo2_dom,Log-log,1,161.6,NA,161.6
ID01_03,smo2_dom,Dmax,2,173.4718603750003,NA,173.4718603750003
ID01_03,smo2_dom,ModDmax,2,207.41659266013147,NA,207.41659266013147
ID01_03,smo2_dom,Log-log.ratio,1,191.8,NA,191.8
ID01_03,smo2_dom,Dmax.ratio,2,202.2039294946553,NA,202.2039294946553
ID01_03,smo2_dom,ModDmax.ratio,2,237.43398078804412,NA,237.43398078804412
ID01_03,smo2_dom,poly,1,72.18596374279639,NA,72.18596374279639
ID01_03,smo2_dom,poly,2,241.205706566146,NA,241.205706566146
ID01_03,smo2_ndom,raw,1,782.8695054257146,NA,148.28695054257145
ID01_03,smo2_ndom,raw,2,1670.3046036876942,NA,237.0304603687694
ID01_03,smo2_ndom,mean,1,119.4165892337356,NA,119.4165892337356
ID01_03,smo2_ndom,mean,2,201.8910844654854,NA,201.8910844654854
ID01_03,smo2_ndom,slope,1,189.9999,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,189.9999
ID01_03,smo2_ndom,slope,2,249.9999,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,249.9999
ID01_03,smo2_ndom,ratio,1,179.77114138165194,NA,179.77114138165194
ID01_03,smo2_ndom,ratio,2,232.23070353802174,NA,232.23070353802174
ID01_03,smo2_ndom,Log-log,1,180.6,NA,180.6
ID01_03,smo2_ndom,Dmax,2,190.11343788230053,NA,190.11343788230053
ID01_03,smo2_ndom,ModDmax,2,228.55327582609246,NA,228.55327582609246
ID01_03,smo2_ndom,Log-log.ratio,1,203.8,NA,203.8
ID01_03,smo2_ndom,Dmax.ratio,2,209.26626449870184,NA,209.26626449870184
ID01_03,smo2_ndom,ModDmax.ratio,2,243.70460634825002,NA,243.70460634825002
ID01_03,smo2_ndom,poly,1,99.76079639988752,NA,99.76079639988752
ID01_03,smo2_ndom,poly,2,268.4531833855848,NA,268.4531833855848
ID01_03,smo2_avg,raw,1,640.3490810309959,NA,134.03490810309958
ID01_03,smo2_avg,raw,2,1561.7830769212644,NA,226.17830769212645
ID01_03,smo2_avg,mean,1,120.47604048708065,NA,120.47604048708065
ID01_03,smo2_avg,mean,2,198.52225193726213,NA,198.52225193726213
ID01_03,smo2_avg,slope,1,107.79273951983141,NA,107.79273951983141
ID01_03,smo2_avg,slope,2,247.36425517816414,NA,247.36425517816414
ID01_03,smo2_avg,ratio,1,230.0767093768809,NA,230.0767093768809
ID01_03,smo2_avg,ratio,2,166.91603154526092,NA,166.91603154526092
ID01_03,smo2_avg,Log-log,1,171.7,NA,171.7
ID01_03,smo2_avg,Dmax,2,182.05900049870786,NA,182.05900049870786
ID01_03,smo2_avg,ModDmax,2,220.40413066487915,NA,220.40413066487915
ID01_03,smo2_avg,Log-log.ratio,1,198.1,NA,198.1
ID01_03,smo2_avg,Dmax.ratio,2,206.27430063696858,NA,206.27430063696858
ID01_03,smo2_avg,ModDmax.ratio,2,240.8366038924286,NA,240.8366038924286
ID01_03,smo2_avg,poly,1,87.24378291993835,NA,87.24378291993835
ID01_03,smo2_avg,poly,2,253.85864312510404,NA,253.85864312510404
ID02_01,smo2_dom,raw,1,317.36413832006684,NA,152.89402305334448
ID02_01,smo2_dom,raw,2,946.2963457162961,NA,257.7160576193827
ID02_01,smo2_dom,mean,1,150.0001,NaNs produced,150.0001
ID02_01,smo2_dom,mean,2,250.0001,NaNs produced,250.0001
ID02_01,smo2_dom,slope,1,150.0001,NaNs produced,150.0001
ID02_01,smo2_dom,slope,2,250.0001,NaNs produced,250.0001
ID02_01,smo2_dom,ratio,1,NA,NA,NA
ID02_01,smo2_dom,ratio,2,NA,NA,NA
ID02_01,smo2_dom,Log-log,1,218.1,NA,218.1
ID02_01,smo2_dom,Dmax,2,213.27625492880938,NA,213.27625492880938
ID02_01,smo2_dom,ModDmax,2,317.0489750047638,NA,317.0489750047638
ID02_01,smo2_dom,Log-log.ratio,1,237.8,NA,237.8
ID02_01,smo2_dom,Dmax.ratio,2,240.91206492358745,NA,240.91206492358745
ID02_01,smo2_dom,ModDmax.ratio,2,288.6640629829073,NA,288.6640629829073
ID02_01,smo2_dom,poly,1,131.7594175405901,NA,131.7594175405901
ID02_01,smo2_dom,poly,2,283.2983609965024,NA,283.2983609965024
ID02_01,smo2_ndom,raw,1,271.55470225798416,NA,145.25911704299736
ID02_01,smo2_ndom,raw,2,943.3551979950757,NA,257.2258663325126
ID02_01,smo2_ndom,mean,1,NA,NA,NA
ID02_01,smo2_ndom,mean,2,NA,NA,NA
ID02_01,smo2_ndom,slope,1,NA,NA,NA
ID02_01,smo2_ndom,slope,2,NA,NA,NA
ID02_01,smo2_ndom,ratio,1,182.68881943883437,NaNs produced,182.68881943883437
ID02_01,smo2_ndom,ratio,2,271.16065968912665,NaNs produced,271.16065968912665
ID02_01,smo2_ndom,Log-log,1,211.5,NA,211.5
ID02_01,smo2_ndom,Dmax,2,225.8717251087663,NA,225.8717251087663
ID02_01,smo2_ndom,ModDmax,2,258.8021776236968,NA,258.8021776236968
ID02_01,smo2_ndom,Log-log.ratio,1,241.7,NA,241.7
ID02_01,smo2_ndom,Dmax.ratio,2,252.40785143681245,NA,252.40785143681245
ID02_01,smo2_ndom,ModDmax.ratio,2,296.266117951674,NA,296.266117951674
ID02_01,smo2_ndom,poly,1,300.66842192360315,NA,300.66842192360315
ID02_01,smo2_ndom,poly,2,NA,NA,NA
ID02_01,smo2_avg,raw,1,289.64194260893316,NA,148.27365710148885
ID02_01,smo2_avg,raw,2,942.5819571823583,NA,257.0969928637264
ID02_01,smo2_avg,mean,1,150.0001,NaNs produced,150.0001
ID02_01,smo2_avg,mean,2,250.0001,NaNs produced,250.0001
ID02_01,smo2_avg,slope,1,NA,NA,NA
ID02_01,smo2_avg,slope,2,NA,NA,NA
ID02_01,smo2_avg,ratio,1,182.41041352068032,NaNs produced,182.41041352068032
ID02_01,smo2_avg,ratio,2,257.7416821740628,NaNs produced,257.7416821740628
ID02_01,smo2_avg,Log-log,1,215.8,NA,215.8
ID02_01,smo2_avg,Dmax,2,217.22032468334123,NA,217.22032468334123
ID02_01,smo2_avg,ModDmax,2,324.31103288116094,NA,324.31103288116094
ID02_01,smo2_avg,Log-log.ratio,1,238.9,NA,238.9
ID02_01,smo2_avg,Dmax.ratio,2,244.63693398526584,NA,244.63693398526584
ID02_01,smo2_avg,ModDmax.ratio,2,291.5925322248,NA,291.5925322248
ID02_01,smo2_avg,poly,1,117.21871056687446,NA,117.21871056687446
ID02_01,smo2_avg,poly,2,286.79028846158917,NA,286.79028846158917
ID02_02,smo2_dom,raw,1,569.0000851852736,NA,194.83334753087894
